,ConfirmOrder(jsp),LineItem,lineitem(table),LineItemMapper,ListOrders(jsp),NewOrderForm(jsp),Order,OrderActionBean,OrderMapper,orders(table),OrderService,orderstatus(table),Sequence,sequence(table),SequenceMapper,ShippingForm(jsp),ViewOrder(jsp),Account,account(table),AccountActionBean,AccountMapper,AccountService,bannerdata(table),EditAccountForm(jsp),IncludeAccountFields(jsp),NewAccountForm(jsp),profile(table),signon(table),SignonForm(jsp),IncludeMyList(jsp),Cart,Cart(jsp),CartActionBean,CartItem,Checkout(jsp),CatalogActionBean,CatalogService,Category,Category(jsp),category(table),CategoryMapper,inventory(table),Item,Item(jsp),item(table),ItemMapper,Product,Product(jsp),product(table),ProductMapper,SearchProducts(jsp),supplier(table),Main(jsp),AbstractActionBean,Error(jsp),IncludeBottom(jsp),IncludeTop(jsp),index(html),help(html)
OrderService,17.242027683579682,32.53234719827975,32.53234719827975,32.53234719827975,18.202387306270154,10.140914889422465,1.0,1.0,1.0,18.202387306270154,1.0,13.287998066012552,34.04480502322556,34.04480502322556,34.04480502322556,-9.915821180711374,1.0,12.579620957040111,-7.420379042959889,12.579620957040111,-7.420379042959889,-7.420379042959889,-1.2694434802625199,-8.08469900226678,-4.30065537949281,-9.74152433774068,-5.533316799227544,-3.789242866426493,21.307772010737946,0.0891854040036336,27.46293254937814,-0.8213386980837557,27.46293254937814,23.347995752725744,-6.630257636900122,-4.57055092461178,-4.57055092461178,-4.946540584966379,-4.946540584966379,-4.946540584966379,-4.946540584966379,14.750153223453834,15.626357965864784,-7.4676528017202495,20.81661844574165,15.626357965864784,16.672245476355346,-3.327754523644652,19.76625624394038,-3.327754523644652,-5.097416135445384,-6.13960929621479,0.0,20.0,0.0,15.088467011369167,20.089185404003633,-2.508627183447891,0.0
orderstatus(table),21.522118952171688,31.57945960461204,31.57945960461204,31.57945960461204,26.590008956305915,16.154549649220723,13.287998066012552,13.287998066012552,13.287998066012552,26.590008956305915,13.287998066012552,1.0,34.94914589053742,34.94914589053742,34.94914589053742,-8.821673128459448,13.287998066012552,13.130952879262582,-6.869047120737418,13.130952879262582,-6.869047120737418,-6.869047120737418,-2.5804419926946376,-8.750947497198238,-6.077840890929581,-10.961198921586755,-11.309493711674847,-5.41323892399494,18.59174831993493,-1.8647134980473725,26.097742881029177,-2.1865283664327206,26.097742881029177,21.873228936466685,-3.1238120639185434,-0.9411016180503913,-0.9411016180503913,-7.509691281468129,-7.509691281468129,-7.509691281468129,-7.509691281468129,17.10557888840968,14.673470372197071,-8.420540395387961,19.863730852073935,14.673470372197071,16.831114089142737,-3.168885910857264,19.92512485672777,-3.168885910857264,-5.328482352449766,-6.0750781164084655,0.0,20.0,0.0,13.59015479023605,18.135286501952628,-2.7348928047026857,0.0
Sequence,34.55857693074332,34.76609844431658,34.76609844431658,34.76609844431658,37.94240586715474,31.528660787202696,34.04480502322556,34.04480502322556,34.04480502322556,37.94240586715474,34.04480502322556,34.94914589053742,1.0,1.0,1.0,-4.46637184441567,34.04480502322556,17.401996767162537,-2.598003232837463,17.401996767162537,-2.598003232837463,-2.598003232837463,-2.7577379112117546,-8.689406218453852,-4.5274628180442456,-6.004083784281616,-3.296511986424341,-0.2659654240492977,24.00326274127474,-3.5657731757978657,27.942975551782023,-0.3412956956798766,27.942975551782023,24.98165425322082,-6.525606352722343,-6.8345031919394605,-6.8345031919394605,-3.364304429212553,-3.364304429212553,-3.364304429212553,-3.364304429212553,20.27147160644745,17.86010921190162,-5.233901555683414,23.050369691778485,17.86010921190162,16.53240272602342,-3.4675972739765797,19.626413493608453,-3.4675972739765797,-2.2139938840830995,-1.9809942944768846,0.0,20.0,0.0,14.362224580524003,16.434226824202135,-2.020165926417335,0.0
sequence(table),34.55857693074332,34.76609844431658,34.76609844431658,34.76609844431658,37.94240586715474,31.528660787202696,34.04480502322556,34.04480502322556,34.04480502322556,37.94240586715474,34.04480502322556,34.94914589053742,1.0,1.0,1.0,-4.46637184441567,34.04480502322556,17.401996767162537,-2.598003232837463,17.401996767162537,-2.598003232837463,-2.598003232837463,-2.7577379112117546,-8.689406218453852,-4.5274628180442456,-6.004083784281616,-3.296511986424341,-0.2659654240492977,24.00326274127474,-3.5657731757978657,27.942975551782023,-0.3412956956798766,27.942975551782023,24.98165425322082,-6.525606352722343,-6.8345031919394605,-6.8345031919394605,-3.364304429212553,-3.364304429212553,-3.364304429212553,-3.364304429212553,20.27147160644745,17.86010921190162,-5.233901555683414,23.050369691778485,17.86010921190162,16.53240272602342,-3.4675972739765797,19.626413493608453,-3.4675972739765797,-2.2139938840830995,-1.9809942944768846,0.0,20.0,0.0,14.362224580524003,16.434226824202135,-2.020165926417335,0.0
SequenceMapper,34.55857693074332,34.76609844431658,34.76609844431658,34.76609844431658,37.94240586715474,31.528660787202696,34.04480502322556,34.04480502322556,34.04480502322556,37.94240586715474,34.04480502322556,34.94914589053742,1.0,1.0,1.0,-4.46637184441567,34.04480502322556,17.401996767162537,-2.598003232837463,17.401996767162537,-2.598003232837463,-2.598003232837463,-2.7577379112117546,-8.689406218453852,-4.5274628180442456,-6.004083784281616,-3.296511986424341,-0.2659654240492977,24.00326274127474,-3.5657731757978657,27.942975551782023,-0.3412956956798766,27.942975551782023,24.98165425322082,-6.525606352722343,-6.8345031919394605,-6.8345031919394605,-3.364304429212553,-3.364304429212553,-3.364304429212553,-3.364304429212553,20.27147160644745,17.86010921190162,-5.233901555683414,23.050369691778485,17.86010921190162,16.53240272602342,-3.4675972739765797,19.626413493608453,-3.4675972739765797,-2.2139938840830995,-1.9809942944768846,0.0,20.0,0.0,14.362224580524003,16.434226824202135,-2.020165926417335,0.0
ShippingForm(jsp),-8.193387207655089,-8.283622108138685,-8.283622108138685,-8.283622108138685,-9.023471140032392,-21.07996290079153,-9.915821180711374,-9.915821180711374,-9.915821180711374,-9.023471140032392,-9.915821180711374,-8.821673128459448,-4.46637184441567,-4.46637184441567,-4.46637184441567,-39.0,-9.915821180711374,-6.4409197073588915,-6.4409197073588915,-6.4409197073588915,-6.4409197073588915,-6.4409197073588915,-0.6128509276245642,-14.528941442542555,-8.626511047100934,-17.693229673951677,-3.8156027722736154,-6.499771806298227,-17.409193489839318,-7.063561886013766,-5.237430815120711,-5.237430815120711,-5.237430815120711,-8.375776713612469,-9.006783910335884,-11.676978799843118,-11.676978799843118,-4.153625505234972,-4.153625505234972,-4.153625505234972,-4.153625505234972,-9.969614770517236,-8.283622108138685,-8.283622108138685,-8.283622108138685,-8.283622108138685,-10.265413817316247,-10.265413817316247,-10.265413817316247,-10.265413817316247,-9.896302270061048,-11.111143766938575,0.0,0.0,0.0,-10.835347283524033,-7.063561886013766,-3.0605324607912285,0.0
ViewOrder(jsp),17.242027683579682,32.53234719827975,32.53234719827975,32.53234719827975,18.202387306270154,10.140914889422465,1.0,1.0,1.0,18.202387306270154,1.0,13.287998066012552,34.04480502322556,34.04480502322556,34.04480502322556,-9.915821180711374,1.0,12.579620957040111,-7.420379042959889,12.579620957040111,-7.420379042959889,-7.420379042959889,-1.2694434802625199,-8.08469900226678,-4.30065537949281,-9.74152433774068,-5.533316799227544,-3.789242866426493,21.307772010737946,0.0891854040036336,27.46293254937814,-0.8213386980837557,27.46293254937814,23.347995752725744,-6.630257636900122,-4.57055092461178,-4.57055092461178,-4.946540584966379,-4.946540584966379,-4.946540584966379,-4.946540584966379,14.750153223453834,15.626357965864784,-7.4676528017202495,20.81661844574165,15.626357965864784,16.672245476355346,-3.327754523644652,19.76625624394038,-3.327754523644652,-5.097416135445384,-6.13960929621479,0.0,20.0,0.0,15.088467011369167,20.089185404003633,-2.508627183447891,0.0
Account,8.31268592889672,12.833846047469503,12.833846047469503,12.833846047469503,13.130141555733896,10.751891859682132,12.579620957040111,12.579620957040111,12.579620957040111,13.130141555733896,12.579620957040111,13.130952879262582,17.401996767162537,17.401996767162537,17.401996767162537,-6.4409197073588915,12.579620957040111,1.0,-19.0,1.0,-19.0,-19.0,17.589628322649627,-3.705083570696022,-4.364419349307152,-11.994967359276604,13.241073054589801,15.300916734727956,21.09358530646337,15.053962088997949,28.98875078482887,20.70447953736697,28.98875078482887,24.54788262367917,-3.3797648107505025,22.604445430090898,28.96119033400656,13.887687701570218,13.887687701570218,13.887687701570218,13.887687701570218,27.448762071620955,27.47486219884706,12.833846047469503,21.1181172949314,27.47486219884706,35.404317324659814,15.404317324659814,30.04533347603737,23.688588572121713,15.019588067040242,-1.331122184292108,20.0,40.0,0.0,35.73362089801002,35.05396208899795,-4.7338469305684985,0.0
account(table),-11.68731407110328,-7.166153952530497,-7.166153952530497,-7.166153952530497,-6.869858444266104,-9.248108140317868,-7.420379042959889,-7.420379042959889,-7.420379042959889,-6.869858444266104,-7.420379042959889,-6.869047120737418,-2.598003232837463,-2.598003232837463,-2.598003232837463,-6.4409197073588915,-7.420379042959889,-19.0,1.0,-19.0,1.0,1.0,37.589628322649624,16.294916429303978,15.635580650692848,8.005032640723396,33.241073054589805,35.300916734727956,21.09358530646337,-4.946037911002052,0.7044795373669716,0.7044795373669716,0.7044795373669716,-3.73638862378273,-3.3797648107505025,22.604445430090898,17.414184950214036,-6.1123122984297815,-6.1123122984297815,-6.1123122984297815,-6.1123122984297815,-7.1922540797566015,-7.166153952530497,-7.166153952530497,-7.166153952530497,-7.166153952530497,15.404317324659814,-4.595682675340185,18.498328092244847,23.688588572121713,-4.980411932959757,-1.331122184292108,40.0,20.0,0.0,15.733620898010017,15.053962088997949,-4.7338469305684985,0.0
AccountActionBean,8.31268592889672,12.833846047469503,12.833846047469503,12.833846047469503,13.130141555733896,10.751891859682132,12.579620957040111,12.579620957040111,12.579620957040111,13.130141555733896,12.579620957040111,13.130952879262582,17.401996767162537,17.401996767162537,17.401996767162537,-6.4409197073588915,12.579620957040111,1.0,-19.0,1.0,-19.0,-19.0,17.589628322649627,-3.705083570696022,-4.364419349307152,-11.994967359276604,13.241073054589801,15.300916734727956,21.09358530646337,15.053962088997949,28.98875078482887,20.70447953736697,28.98875078482887,24.54788262367917,-3.3797648107505025,22.604445430090898,28.96119033400656,13.887687701570218,13.887687701570218,13.887687701570218,13.887687701570218,27.448762071620955,27.47486219884706,12.833846047469503,21.1181172949314,27.47486219884706,35.404317324659814,15.404317324659814,30.04533347603737,23.688588572121713,15.019588067040242,-1.331122184292108,20.0,40.0,0.0,35.73362089801002,35.05396208899795,-4.7338469305684985,0.0
